,estuary,discharge,flushing_time,S_in_mean,S_out_mean,eta,vel_tide,ur,Ro_s,C_k,tidal_phase
108,Kent,40,[-6.52380304e+13],27.59701763812046,411514302773.0617,24.90623761536712,0.5122197051258203,0.0015238095238095239,1021.1029964400559,285848236919.04034,spring
109,Kent,40,[-159357.45049968],28.030782522581905,1049.039705564817,0.09935682271193526,0.032355184187131875,0.0015238095238095239,1021.4182843710322,764.7855323360113,neap
110,Kent,50,[-1.25665884e+13],27.59701763812046,99085817667.81407,24.90623761536712,0.5122197051258203,0.001904761904761905,1021.1029964400559,59376921660.62574,spring
111,Kent,50,[-65245.5399757],28.030782522581905,550.5689372732285,0.09935682271193526,0.032355184187131875,0.001904761904761905,1021.4182843710322,339.2317449333326,neap
112,Duddon,1,[165.05006251],30.58306214985951,30.48004712293178,32.28586357547591,0.5122197051258203,0.00013605442176870748,1023.4704690010459,0.0,spring
113,Duddon,1,[-1.40589526e+11],30.91173739785906,88691184.32369849,0.1287958812932494,0.03235518418713187,0.00013605442176870748,1023.7412793580194,402137610.2763615,neap
114,Duddon,2,[82.52503125],30.58306214985951,30.480047122931776,32.28586357547591,0.5122197051258203,0.00027210884353741496,1023.4704690010459,0.0,spring
115,Duddon,2,[-3.83070285e+09],30.91173739785906,4833242.365278945,0.1287958812932494,0.03235518418713187,0.00027210884353741496,1023.7412793580194,13859904.979143525,neap
116,Duddon,5,[33.0100125],30.58306214985951,30.480047122931776,32.28586357547591,0.5122197051258203,0.0006802721088435374,1023.4704690010459,0.0,spring
117,Duddon,5,[-32641281.88756937],30.91173739785906,102989.96623107517,0.1287958812932494,0.03235518418713187,0.0006802721088435374,1023.7412793580194,161543.3678190287,neap
118,Duddon,10,[16.50500625],30.58306214985951,30.48004712293178,32.28586357547591,0.5122197051258203,0.0013605442176870747,1023.4704690010459,0.0,spring
119,Duddon,10,[-883926.99383307],30.91173739785906,5607.180943978856,0.1287958812932494,0.03235518418713187,0.0013605442176870747,1023.7412793580194,5567.6854657883805,neap
120,Duddon,20,[8.25250313],30.58306214985951,30.480047122931776,32.28586357547591,0.5122197051258203,0.0027210884353741495,1023.4704690010459,0.0,spring
121,Duddon,20,[-23743.23358103],30.91173739785906,330.48096247243814,0.1287958812932494,0.03235518418713187,0.0027210884353741495,1023.7412793580194,191.89349500673018,neap
122,Duddon,30,[5.50166875],30.58306214985951,30.480047122931776,32.28586357547591,0.5122197051258203,0.004081632653061225,1023.4704690010459,0.0,spring
123,Duddon,30,[-2836.58364694],30.91173739785906,84.59565299042829,0.1287958812932494,0.03235518418713187,0.004081632653061225,1023.7412793580194,26.759971864163948,neap
124,Duddon,40,[4.12625156],30.58306214985951,30.48004712293178,32.28586357547591,0.5122197051258203,0.005442176870748299,1023.4704690010459,0.0,spring
125,Duddon,40,[-621.2383024],30.91173739785906,46.58810904294358,0.1287958812932494,0.03235518418713187,0.005442176870748299,1023.7412793580194,6.613720127001439,neap
126,Duddon,50,[3.30100125],30.58306214985951,30.480047122931776,32.28586357547591,0.5122197051258203,0.006802721088435374,1023.4704690010459,0.0,spring
127,Duddon,50,[-188.04680345],30.91173739785906,36.843220465842386,0.1287958812932494,0.03235518418713187,0.006802721088435374,1023.7412793580194,2.236604182539407,neap
